"Freq [MHz]","dB(PeakRealizedGain) []"
380,-23.4899458760003
380.5,-23.3968380729685
381,-23.3032009999511
381.5,-23.2090277753886
382,-23.1143113663147
382.5,-23.0190447362098
383,-22.9232207640596
383.5,-22.826832249937
384,-22.7298719191897
384.5,-22.6323311028957
385,-22.5342010557062
385.5,-22.4354771182174
386,-22.3361518359378
386.5,-22.2362179710298
387,-22.1356675005251
387.5,-22.0344931287715
388,-21.9326869783949
388.5,-21.8302421255249
389,-21.7271484397439
389.5,-21.623398386503
390,-21.5189866265155
390.5,-21.4139056394403
391,-21.3081481177132
391.5,-21.201706413113
392,-21.0945733446267
392.5,-20.9867416976899
393,-20.8782043974446
393.5,-20.7689522361455
394,-20.6589782331204
394.5,-20.5482782125685
395,-20.4368457482097
395.5,-20.3246747181561
396,-20.211759260945
396.5,-20.0980938294604
397,-19.9836732530055
397.5,-19.868493538555
398,-19.7525472717504
398.5,-19.6358292883663
399,-19.5183397821105
399.5,-19.400075685924
400,-19.2810356060124
400.5,-19.1612179160891
401,-19.0406221116376
401.5,-18.9192485915362
402,-18.797098789165
402.5,-18.6741750085931
403,-18.550477159823
403.5,-18.4260124871803
404,-18.3007886964938
404.5,-18.1748133334202
405,-18.0480965535424
405.5,-17.9206493430473
406,-17.7924829254385
406.5,-17.6636177430772
407,-17.5340687419356
407.5,-17.4038562068095
408,-17.2729981131695
408.5,-17.1415248819896
409,-17.0094630959189
409.5,-16.8768507259832
410,-16.7437221238756
410.5,-16.6101173994826
411,-16.4760813472783
411.5,-16.3416631352471
412,-16.2069172886907
412.5,-16.0719030722206
413,-15.936681369951
413.5,-15.8013262680634
414,-15.6659166266007
414.5,-15.5305368101366
415,-15.3952781922811
415.5,-15.2602398330803
416,-15.1255285151968
416.5,-14.9912595929722
417,-14.8575567943503
417.5,-14.7245529164296
418,-14.5923887578071
418.5,-14.4612123454001
419,-14.3311895820504
419.5,-14.2024914555511
420,-14.075298861469
420.5,-13.9498024147842
421,-13.8262025411308
421.5,-13.7047088262592
422,-13.5855398316791
422.5,-13.4689223804591
423,-13.3550909136222
423.5,-13.2442850875836
424,-13.13674765326
424.5,-13.0327340959898
425,-12.932496456463
425.5,-12.8362975838477
426,-12.744376184975
426.5,-12.656986488884
427,-12.5743745394476
427.5,-12.4967711557494
428,-12.4244173852641
428.5,-12.3575163081383
429,-12.2962653497826
429.5,-12.2408422776795
430,-12.1914103017484
430.5,-12.1481149307977
431,-12.1110532747425
431.5,-12.0803305552684
432,-12.0560040140789
432.5,-12.0381051428044
433,-12.0266419441272
433.5,-12.021586616317
434,-12.0228941645068
434.5,-12.0304847427701
435,-12.0442527907098
435.5,-12.0640656503392
436,-12.0897725522886
436.5,-12.1212037982063
437,-12.1581684004209
437.5,-12.2004568510805
438,-12.2478480299075
438.5,-12.3001106436093
439,-12.3570025496296
439.5,-12.4182731275032
440,-12.4836752707789
440.5,-12.552950492678
441,-12.6258440433439
441.5,-12.702109337467
442,-12.7814884604544
442.5,-12.8637420810861
443,-12.9486355873745
443.5,-13.0359380362415
444,-13.1254274849857
444.5,-13.216891105817
445,-13.3101244631682
445.5,-13.4049328255733
446,-13.5011312604642
446.5,-13.5985446484114
447,-13.6970076077581
447.5,-13.7963645006474
448,-13.8964692639486
448.5,-13.9971833402491
449,-14.0983755818905
449.5,-14.1999325622231
450,-14.3017438668072
450.5,-14.4037069735608
451,-14.5057280444049
451.5,-14.607719392081
452,-14.7096011316866
452.5,-14.8112984811323
453,-14.9127443972909
453.5,-15.0138765910433
454,-15.1146391950313
454.5,-15.2149801968541
455,-15.3148532207172
455.5,-15.4142160178309
456,-15.5130242161131
456.5,-15.6112483566817
457,-15.7088590621042
457.5,-15.8058288725362
458,-15.9021333781355
458.5,-15.9977510165098
459,-16.0926628197935
459.5,-16.1868522233011
460,-16.2803048988969
460.5,-16.3730085387577
461,-16.4649527216311
461.5,-16.5561287702149
462,-16.6465295585146
462.5,-16.7361494472605
463,-16.8249841058947
463.5,-16.913028006736
464,-17.0002761370129
464.5,-17.0867329315764
465,-17.1723983098562
465.5,-17.2572730839317
466,-17.3413587921759
466.5,-17.4246324971216
467,-17.5071216790289
467.5,-17.5888301462399
468,-17.6697618743984
468.5,-17.7499212571469
469,-17.8293131454911
469.5,-17.9079427198653
470,-17.9858155151616
470.5,-18.0629373478643
471,-18.1393142916742
471.5,-18.2149526647299
472,-18.2898589460931
472.5,-18.3640398326035
473,-18.4375021220576
473.5,-18.5102494729212
474,-18.5822873457174
474.5,-18.6536277311443
475,-18.7242778087832
475.5,-18.7942448689862
476,-18.8635362036714
476.5,-18.9321591468699
477,-19.0001210326837
477.5,-19.0674292338455
478,-19.1340910882287
478.5,-19.2001139142915
479,-19.2655050381442
479.5,-19.3302717329445
480,-19.3944212367634
