Freq [MHz],dB(PeakRealizedGain) [] - Cvar='0.0175pF',dB(PeakRealizedGain) [] - Cvar='0.02pF',dB(PeakRealizedGain) [] - Cvar='0.0225pF',dB(PeakRealizedGain) [] - Cvar='0.025pF',dB(PeakRealizedGain) [] - Cvar='0.0275pF',dB(PeakRealizedGain) [] - Cvar='0.03pF',dB(PeakRealizedGain) [] - Cvar='0.0325pF',dB(PeakRealizedGain) [] - Cvar='0.035pF',dB(PeakRealizedGain) [] - Cvar='0.0375pF',dB(PeakRealizedGain) [] - Cvar='0.04pF',dB(PeakRealizedGain) [] - Cvar='0.0425pF',dB(PeakRealizedGain) [] - Cvar='0.045pF',dB(PeakRealizedGain) [] - Cvar='0.0475pF',dB(PeakRealizedGain) [] - Cvar='0.05pF',dB(PeakRealizedGain) [] - Cvar='0.0525pF',dB(PeakRealizedGain) [] - Cvar='0.055pF',dB(PeakRealizedGain) [] - Cvar='0.0575pF',dB(PeakRealizedGain) [] - Cvar='0.06pF',dB(PeakRealizedGain) [] - Cvar='0.0625pF',dB(PeakRealizedGain) [] - Cvar='0.065pF',dB(PeakRealizedGain) [] - Cvar='0.0675pF',dB(PeakRealizedGain) [] - Cvar='0.07pF',dB(PeakRealizedGain) [] - Cvar='0.0725pF',dB(PeakRealizedGain) [] - Cvar='0.075pF',dB(PeakRealizedGain) [] - Cvar='0.0775pF',dB(PeakRealizedGain) [] - Cvar='0.08pF',dB(PeakRealizedGain) [] - Cvar='0.0825pF',dB(PeakRealizedGain) [] - Cvar='0.085pF',dB(PeakRealizedGain) [] - Cvar='0.0875pF',dB(PeakRealizedGain) [] - Cvar='0.09pF',dB(PeakRealizedGain) [] - Cvar='0.0925pF',dB(PeakRealizedGain) [] - Cvar='0.095pF',dB(PeakRealizedGain) [] - Cvar='0.0975pF',dB(PeakRealizedGain) [] - Cvar='0.1pF',dB(PeakRealizedGain) [] - Cvar='0.1025pF',dB(PeakRealizedGain) [] - Cvar='0.105pF',dB(PeakRealizedGain) [] - Cvar='0.1075pF',dB(PeakRealizedGain) [] - Cvar='0.11pF',dB(PeakRealizedGain) [] - Cvar='0.1125pF',dB(PeakRealizedGain) [] - Cvar='0.115pF',dB(PeakRealizedGain) [] - Cvar='0.1175pF',dB(PeakRealizedGain) [] - Cvar='0.12pF',dB(PeakRealizedGain) [] - Cvar='0.1225pF',dB(PeakRealizedGain) [] - Cvar='0.125pF'
380,-51.6343419,-51.03664462,-50.09919466,-48.80868746,-47.98855275,-47.21385862,-46.478111,-45.7760103,-45.10316919,-44.45605027,-43.83124738,-43.2262217,-42.6386536,-42.06651461,-41.5080147,-40.96156061,-40.4257221,-39.89920461,-39.38082634,-38.86949974,-38.3641419,-37.8639577,-37.36797902,-36.87535614,-36.38527247,-35.89693601,-35.40957161,-34.92241345,-34.43469785,-33.94565612,-33.45457783,-32.96052051,-32.4627266,-31.96033082,-31.45242173,-30.93803976,-30.41613018,-29.88557989,-29.34516734,-28.79355081,-28.22924461,-27.65057681,-27.0557066,-26.44250162
380.5,-51.52874834,-50.92867857,-49.99034676,-48.7004631,-47.87924991,-47.10339119,-46.36639736,-45.66297144,-44.98886888,-44.34013016,-43.71376778,-43.10710262,-42.51781277,-41.94386689,-41.38347142,-40.83502895,-40.29710455,-39.76839831,-39.2477224,-38.73398258,-38.22608943,-37.72323755,-37.22445051,-36.72886835,-36.23566297,-35.74402965,-35.25317902,-34.76232934,-34.27069909,-33.77749956,-33.28199739,-32.78322528,-32.28039634,-31.77261226,-31.25892392,-30.73832873,-30.20972121,-29.67193058,-29.12366756,-28.563511,-27.98988136,-27.40099478,-26.79487737,-26.16923485
381,-51.42285307,-50.82038307,-49.88114966,-48.59187775,-47.76956486,-46.99251941,-46.25425614,-45.54948055,-44.87395261,-44.2237055,-43.59575468,-42.98741936,-42.39637515,-41.82058763,-41.25825952,-40.70778911,-40.16773646,-39.63679608,-39.11377383,-38.59756838,-38.08708305,-37.5815026,-37.07984143,-36.58122868,-36.08482423,-35.58980993,-35.09538136,-34.60073995,-34.10508533,-33.60767953,-33.1075489,-32.60391551,-32.09588926,-31.5825366,-31.06286792,-30.53583463,-30.0002762,-29.45495968,-28.89852239,-28.32945672,-27.74608068,-27.14648744,-26.528557,-25.88982174
381.5,-51.31664931,-50.71175045,-49.77159537,-48.48292354,-47.65948931,-46.88123447,-46.14167799,-45.43552769,-44.75854959,-44.10676613,-43.47719728,-42.86716034,-42.27432831,-41.69666351,-41.13236472,-40.57982566,-40.03760121,-39.50437996,-38.97896116,-38.46023608,-37.94710005,-37.43872813,-36.93412472,-36.43240757,-35.93272387,-35.43424125,-34.93613943,-34.43760206,-33.93780872,-33.43599911,-32.93117358,-32.42252558,-31.90913189,-31.39002121,-30.86416982,-30.33045132,-29.78767452,-29.23452946,-28.66957375,-28.09120559,-27.49761684,-26.88680812,-26.25645527,-25.60390628
382,-51.21012743,-50.60278099,-49.66168373,-48.37358944,-47.54901176,-46.76952441,-46.0286504,-45.32109981,-44.64264505,-43.98929662,-43.35807936,-42.74630852,-42.15165431,-41.57207559,-41.00576698,-40.45111742,-39.90667631,-39.37112604,-38.84325891,-38.32188408,-37.80611124,-37.29488278,-36.78726667,-36.28236863,-35.77932246,-35.27728084,-34.77540668,-34.27286477,-33.76881352,-33.26246891,-32.7528035,-32.23898023,-31.72004055,-31.19497268,-30.66270681,-30.12206149,-29.5717832,-29.01048842,-28.43664809,-27.84855757,-27.24428551,-26.62168526,-25.97825255,-25.311115
382.5,-51.10328766,-50.49346304,-49.55140276,-48.26387472,-47.43813104,-46.65738756,-45.91517121,-45.20619415,-44.52623335,-43.87129069,-43.23839396,-42.62485617,-42.02834458,-41.44681434,-40.87845574,-40.32165267,-39.77494876,-39.23701987,-38.70665104,-38.18264352,-37.6640974,-37.14994515,-36.63924338,-36.13108519,-35.62459025,-35.11889539,-34.61314581,-34.10648632,-33.59805278,-33.08703576,-32.57238082,-32.05321181,-31.52853861,-30.99730395,-30.45838824,-29.91055108,-29.35247134,-28.78268563,-28.19957047,-27.60129439,-26.98583388,-26.3508368,-25.69361982,-25.01104573
383,-50.99612461,-50.38379618,-49.44075164,-48.15377287,-47.32684022,-46.5448165,-45.80123245,-45.09080217,-44.40930652,-43.7527396,-43.11813151,-42.50279285,-41.9043877,-41.32086732,-40.75041741,-40.19141652,-39.64240225,-39.10204364,-38.56911804,-38.0424184,-37.52103474,-37.00388909,-36.49002611,-35.97852557,-35.46849222,-34.9590462,-34.44931389,-33.93841895,-33.42554613,-32.9096406,-32.38983521,-31.8651458,-31.33454197,-30.79692946,-30.25110578,-29.69579638,-29.12959696,-28.55095734,-27.95815104,-27.34922313,-26.72200222,-26.07395542,-25.40217801,-24.70325753
383.5,-50.88863005,-50.27376935,-49.32971891,-48.0432745,-47.21512941,-46.43180084,-45.68682318,-44.9749123,-44.29185487,-43.63363294,-42.99728081,-42.38010646,-41.7797706,-41.19422038,-40.62163664,-40.06039235,-39.50901875,-38.9661777,-38.43063852,-37.90118529,-37.37689767,-36.85668655,-36.33958406,-35.82465589,-35.31099107,-34.797692,-34.28386523,-33.76861192,-33.25109144,-32.73022004,-32.20509767,-31.67470239,-31.13796054,-30.59372796,-30.04074349,-29.47766482,-28.90300776,-28.31512764,-27.71218536,-27.0920905,-26.45250864,-25.79070659,-25.10353285,-24.38727906
384,-50.78080288,-50.16337931,-49.21830094,-47.93237717,-47.10299565,-46.31833708,-45.57193927,-44.85851978,-44.17386677,-43.51395833,-42.87582862,-42.25678286,-41.65447815,-41.06685727,-40.49209597,-39.92856135,-39.37477794,-38.8294001,-38.29118862,-37.75892,-37.23165969,-36.70830852,-36.18788533,-35.66944103,-35.15204798,-34.63478991,-34.11675224,-33.59701231,-33.07470202,-32.5487077,-32.0180937,-31.48179761,-30.93869942,-30.38760117,-29.82717844,-29.25601554,-28.67254146,-28.07500847,-27.46143959,-26.82963949,-26.17704922,-25.50073453,-24.79724827,-24.06255521
384.5,-50.67263503,-50.05261836,-49.10648954,-47.82107133,-46.99042888,-46.20441452,-45.45656943,-44.74161261,-44.05533401,-43.39370677,-42.75376512,-42.13281127,-41.5284985,-40.93876502,-40.36178117,-39.79590788,-39.23966265,-38.69169192,-38.15067324,-37.61559635,-37.08529223,-36.55872367,-36.03489562,-35.51284328,-34.99162143,-34.47029399,-33.94792402,-33.42356353,-32.89631619,-32.36503441,-31.82874546,-31.2863436,-30.73666851,-30.17843552,-29.61028073,-29.03069918,-28.43802544,-27.83039918,-27.20570786,-26.56159292,-25.89529483,-25.20363199,-24.4828602,-23.72851589
